question,answer
 Bij welke voertuigen moet ik brandstofverbruiksgegevens uitlezen en hoe moet dit ? ,"  In   deze animatievideo geven we uitleg over het uitlezen van brandstofverbruiksgegevens. Zoals hoe u dit moet doen, wanneer en waarom.  "
 Mijn pincode is verlopen of ik ben hem vergeten. Wat kan ik doen? ,"   U herstelt uw
persoonlijke pincode door naar Inloggen voor keurmeesters te gaan. Daar logt u met uw eigen DigiD in.
In deze
omgeving herstelt u zelf een persoonlijke pincode. Ook
kunt u er allerlei persoonlijke
gegevens inzien, zoals uw bevoegdheden en cusumstanden en kunt u hier
uw adresgegevens aanpassen. Geeft u hier uw e-mailadres op, dan houden wij u ook op de hoogte van het laatste nieuws over
APK.  "
 Moet bij een BE-combinatie de oplegger afgekoppeld zijn tijdens de keuring? ,"   Bij het keuren van deze BE-combinatie moet u
de voertuig-combinatie helemaal ontkoppelen. Tijdens de APK moet de
opleggertrekker rondom vrij zijn. Dit is nodig zodat u alle keuringseisen op
een normale manier kunt controleren.   "
 Waar vind ik de APK-regelgeving voor land- en bosbouwtrekkers ,"  Vanaf mei 2021 moeten land- en bosbouwtrekkers gekeurd
worden. U kunt de APK regelgeving voor land- en bosbouwtrekkers hier downloaden:   handboek
APK-regelgeving voor Land en bosbouwtrekkers (pdf, 6mb) .  "
 Wat is de werkwijze van EOBD uitlezing bij APK keuring? ,"   De RDW heeft geconstateerd dat het bij verschillende voertuigen moeilijk is om het emissie gerelateerd diagnostisch boordsysteem (EOBD) tijdens een APK uit te lezen. Hierdoor is de werkwijze voor EOBD uitlezen tijdens de APK aangepast. Ga voor meer informatie naar:   Stroomschema werkwijze EOBD uitlezing bij APK (pdf, 164kb)   "
 Hoe controleer ik de afstelling van de mistvoorlichten? ,"   Als de
mistlichten aan de voorkant van een voertuig werken dan moet u de afstelling
van het mistvoorlicht controleren. Het lichtste vlak mag niet boven
de horizontale lijn (0 mm/m-lijn) zijn die overeenkomt met het midden van het
mistvoorlicht. Voor het lichtbeeld zelf
gelden geen eisen.    Een koplamptester
mag u gebruiken als deze betreft de instelbaarheid van de hoogte geschikt
is om de mistlampen te meten. Als de koplamptester niet geschikt is, maakt u
gebruik van een lichtscherm. Een lichtscherm kan bijvoorbeeld een muur zijn.     "
 Hoe controleer ik de waarschuwingsinrichting ABS bij motorvoertuigen? ,  De controle van de waarschuwingsinrichting ABS beperkt zich tot een visuele en auditieve controle of er een defect wordt aangegeven.  Er vindt geen controle plaats op de aanwezigheid van een waarschuwingsinrichting of waarschuwingslampje.  
 Mag een keurmeester voertuigonderdelen demonteren of verwijderen? ,"  Een
aantal voertuigonderdelen moet u voor een APK-keuring verwijderen of
demonteren, om een goede controle uit te kunnen voeren. Welke onderdelen dat
zijn, staat in de APK-regelgeving, in de algemene bepaling, artikel 5.1b.3 .  "
 Moet een tachograaf gecontroleerd worden bij lichte bedrijfsvoertuigen en personenauto’s (APK 2)? ,  ​Het controleren van de tachograaf bij lichte bedrijfsvoertuigen en personenauto’s is vanaf 1 januari 2016 onderdeel van de APK 2-keuring. De controle van de tachograaf was voor de zware bedrijfsauto’s al onderdeel van de APK 1-keuring.   
 Is er extra apparatuur nodig voor een tachograaf controle bij lichte bedrijfsvoertuigen en personenauto’s (APK 2)? ,  Voor APK-erkenninghouders zijn geen extra investeringen nodig om de controle op de tachograaf voor lichte bedrijfsauto’s in APK 2-keuring uit te kunnen voeren. De controle voert u uit met behulp van het al aanwezige basis gereedschap (looplamp en meetlint). U hoeft geen nieuwe apparatuur aan te schaffen.  
 Welke eisen zijn van toepassing op een tachograaf controle bij lichte bedrijfsvoertuigen en personenauto’s (APK 2)? ,  De controle-eisen voor het keuren van de tachograaf bij APK 2 staan beschreven in de APK-regelgeving vanaf1 januari 2016. Het gaat om een eenvoudige controle waarbij u kijkt of er een installatieplaatje aanwezig en geldig is. En of de tachograaf op de juiste manier verzegeld is. Daarnaast moet u ook controleren of de omtrek van de banden niet afwijkt.    
 Moet ik een tachograaf altijd controleren? ,"  Heeft een voertuig een tachograaf met installatieplaatje, dan moet u deze altijd controleren tijdens een APK- keuring.   "
 Hoe ziet u dat er regelgeving gewijzigd is? ,"  Alle wijzigingen vindt u onderaan de website bij ‘Recente wijzigen’. Ook hebben nieuwe artikelen een geel kader, gewijzigde artikelen een grijs kader en staat de datum van de wijziging bij het artikel. Is de regelgeving onlangs gewijzigd dan staat er een aantal weken een waarschuwingsbalk op de site. U kunt de wijzigingen dus niet meer missen.  "
 Is er een papieren handboek? ,"   Naast de online APK-regelgeving is er een papieren versie. Deze kunt u zelf printen.    APK-regelgeving (pdf, 4mb)  "
 Door een defect apparaat tijdens de steekproef is mijn bedrijf technisch geschorst en mag ik niet meer keuren. Wat moet ik doen? ,"  U mag geen keuringen uitvoeren waarbij u het apparaat (meetmiddelen) nodig heeft om te keuren. Is het apparaat gerepareerd, neem dan voordat u weer met het apparaat keurt, contact op met APK Centrum Nederland. Het e-mailadres is [email protected] . U laat met bijvoorbeeld een reparatie bon zien dat het apparaat weer werkt. APK Centrum Nederland beoordeelt of u weer mag keuren of dat er een Toezichthouder Bedrijven langskomt. Zet in de mail het bedrijfsnummer en/of het KI-nummer. Gebruik het e-mailadres niet voor andere technische vragen of vragen over overige schorsingen. Gebruik hiervoor ons Contactformulier of bel naar 088-0087477.    "
